stage,problem,xa1,pa1,xa2,pa2,xa3,pa3,na,eva,xb1,pb1,xb2,pb2,xb3,pb3,nb,evb,mechanism
1,1,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,2,0,0.8,105,0.2,0,0,2,21,0,0.88,175,0.12,0,0,2,21,Triangle
1,3,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,4,105,1,0,0,0,0,1,105,0,0.08,105,0.8,175,0.12,3,105,Triangle
1,5,0,0.2,105,0.8,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,6,105,0.2,175,0.8,0,0,2,161,0,0.08,175,0.92,0,0,2,161,Triangle
1,7,105,1,0,0,0,0,1,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,8,0,0.08,105,0.8,175,0.12,3,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,9,0,0.08,105,0.8,175,0.12,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,10,0,0.2,105,0.5,175,0.3,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,11,0,0.52,175,0.48,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,12,0,0.08,105,0.8,175,0.12,3,105,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,13,0,0.28,105,0.6,175,0.12,3,84,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,14,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,15,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,16,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,17,15,0.8,100,0.2,0,0,2,32,15,0.9,185,0.1,0,0,2,32,Triangle
1,18,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,19,100,1,0,0,0,0,1,100,15,0.1,100,0.8,185,0.1,3,100,Triangle
1,20,15,0.2,100,0.8,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,21,100,0.2,185,0.8,0,0,2,168,15,0.1,185,0.9,0,0,2,168,Triangle
1,22,100,1,0,0,0,0,1,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,23,15,0.1,100,0.8,185,0.1,3,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,24,15,0.1,100,0.8,185,0.1,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,25,15,0.2,100,0.6,185,0.2,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,26,15,0.6,185,0.4,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,27,15,0.1,100,0.8,185,0.1,3,100,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,28,15,0.3,100,0.6,185,0.1,3,83,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,29,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,30,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,31,-35,0.6,165,0.4,0,0,2,45,-5,0.35,65,0.6,370,0.05,3,55.75,Random
1,32,-90,0.05,70,0.05,165,0.9,3,147.5,55,0.55,235,0.25,335,0.2,3,156,Random
1,33,135,1,0,0,0,0,1,135,100,0.3,110,0.15,185,0.55,3,148.25,Random
1,34,-50,1,0,0,0,0,1,-50,-80,0.85,45,0.1,55,0.05,3,-60.75,Random
1,35,-145,0.25,60,0.5,100,0.25,3,18.75,-55,0.3,65,0.6,190,0.1,3,41.5,Random
1,36,-85,1,0,0,0,0,1,-85,-85,0.65,-75,0.35,0,0,2,-81.5,Random
1,37,35,0.1,160,0.9,0,0,2,147.5,145,1,0,0,0,0,1,145,Random
1,38,-25,0.45,90,0.2,200,0.35,3,76.75,-40,0.55,175,0.45,0,0,2,56.75,Random
1,39,35,1,0,0,0,0,1,35,-15,0.4,100,0.5,115,0.1,3,55.5,Random
1,40,-35,0.75,80,0.1,700,0.15,3,86.75,80,1,0,0,0,0,1,80,Random
1,41,-390,0.15,35,0.85,0,0,2,-28.75,-45,1,0,0,0,0,1,-45,Random
