stage,problem,xa1,pa1,xa2,pa2,xa3,pa3,na,eva,xb1,pb1,xb2,pb2,xb3,pb3,nb,evb,mechanism
1,42,170,0.55,215,0.45,0,0,2,190.25,150,0.35,175,0.4,335,0.25,3,206.25,Random
1,43,200,1,0,0,0,0,1,200,210,1,0,0,0,0,1,210,Random
1,44,-20,1,0,0,0,0,1,-20,-90,0.15,-65,0.2,5,0.65,3,-23.25,Random
1,45,-110,0.15,-50,0.85,0,0,2,-59,-155,0.7,150,0.3,0,0,2,-63.5,Random
1,46,-55,0.05,-25,0.95,0,0,2,-26.5,-120,0.55,5,0.15,45,0.3,3,-51.75,Random
1,47,-110,0.45,-40,0.55,0,0,2,-71.5,-75,0.8,5,0.2,0,0,2,-59,Random
1,48,-60,1,0,0,0,0,1,-60,-65,1,0,0,0,0,1,-65,Random
1,49,-95,1,0,0,0,0,1,-95,-355,0.2,-130,0.1,0,0.7,3,-84,Random
1,50,75,0.5,105,0.4,175,0.1,3,97,95,1,0,0,0,0,1,95,Random
1,51,-45,0.8,15,0.05,140,0.15,3,-14.25,-10,1,0,0,0,0,1,-10,Random
1,52,50,0.9,425,0.05,630,0.05,3,97.75,25,0.5,175,0.5,0,0,2,100,Random
1,53,20,1,0,0,0,0,1,20,15,1,0,0,0,0,1,15,Random
1,54,-105,0.5,75,0.5,0,0,2,-15,-445,0.35,230,0.65,0,0,2,-6.25,Random
1,55,-155,0.35,-75,0.35,295,0.3,3,8,-230,0.55,195,0.35,645,0.1,3,6.25,Random
1,56,50,0.05,130,0.8,170,0.15,3,132,60,0.6,270,0.4,0,0,2,144,Random
1,57,-140,0.35,305,0.65,0,0,2,149.25,170,1,0,0,0,0,1,170,Random
1,58,-45,0.1,0,0.9,0,0,2,-4.5,-70,0.1,-15,0.9,0,0,2,-20.5,Random
1,59,40,0.3,230,0.45,270,0.25,3,183,65,0.65,390,0.35,0,0,2,178.75,Random
1,60,-90,0.55,-85,0.45,0,0,2,-87.75,-210,0.45,-75,0.25,25,0.3,3,-105.75,Random
2,1,100,1,0,0,0,0,1,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,2,25,0.8,100,0.2,0,0,2,40,25,0.9,175,0.1,0,0,2,40,Triangle
2,3,25,0.2,100,0.8,0,0,2,85,25,0.6,175,0.4,0,0,2,85,Triangle
2,4,100,1,0,0,0,0,1,100,25,0.1,100,0.8,175,0.1,3,100,Triangle
2,5,25,0.2,100,0.8,0,0,2,85,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,6,100,0.2,175,0.8,0,0,2,160,25,0.1,175,0.9,0,0,2,160,Triangle
2,7,100,1,0,0,0,0,1,100,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,8,25,0.1,100,0.8,175,0.1,3,100,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,9,25,0.1,100,0.8,175,0.1,3,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,10,25,0.2,100,0.6,175,0.2,3,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,11,25,0.6,175,0.4,0,0,2,85,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,12,25,0.1,100,0.8,175,0.1,3,100,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,13,25,0.3,100,0.6,175,0.1,3,85,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,14,100,1,0,0,0,0,1,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,15,25,0.2,100,0.8,0,0,2,85,25,0.6,175,0.4,0,0,2,85,Triangle
2,16,90,1,0,0,0,0,1,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,17,0,0.8,90,0.2,0,0,2,18,0,0.91,200,0.09,0,0,2,18,Triangle
2,18,0,0.2,90,0.8,0,0,2,72,0,0.64,200,0.36,0,0,2,72,Triangle
2,19,90,1,0,0,0,0,1,90,0,0.11,90,0.8,200,0.09,3,90,Triangle
2,20,0,0.2,90,0.8,0,0,2,72,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,21,90,0.2,200,0.8,0,0,2,178,0,0.11,200,0.89,0,0,2,178,Triangle
2,22,90,1,0,0,0,0,1,90,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,23,0,0.11,90,0.8,200,0.09,3,90,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,24,0,0.11,90,0.8,200,0.09,3,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,25,0,0.2,90,0.64,200,0.16,3,89.6,0,0.55,200,0.45,0,0,2,90,Triangle
2,26,0,0.64,200,0.36,0,0,2,72,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,27,0,0.11,90,0.8,200,0.09,3,90,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,28,0,0.31,90,0.6,200,0.09,3,72,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,29,90,1,0,0,0,0,1,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,30,0,0.2,90,0.8,0,0,2,72,0,0.64,200,0.36,0,0,2,72,Triangle
2,31,-10,0.05,75,0.95,0,0,2,70.75,25,0.25,110,0.75,0,0,2,88.75,Random
2,32,-130,0.55,250,0.45,0,0,2,41,50,1,0,0,0,0,1,50,Random
2,33,-270,0.25,-20,0.75,0,0,2,-82.5,-55,1,0,0,0,0,1,-55,Random
2,34,-90,1,0,0,0,0,1,-90,-75,1,0,0,0,0,1,-75,Random
2,35,-360,0.1,-140,0.5,140,0.4,3,-50,-45,1,0,0,0,0,1,-45,Random
2,36,20,0.3,85,0.3,370,0.4,3,179.5,165,1,0,0,0,0,1,165,Random
2,37,-120,0.2,30,0.25,195,0.55,3,90.75,65,0.7,135,0.05,180,0.25,3,97.25,Random
2,38,-135,0.2,-25,0.25,35,0.55,3,-14,-175,0.05,-15,0.9,55,0.05,3,-19.5,Random
2,39,-135,0.25,-90,0.65,-60,0.1,3,-98.25,-125,0.05,-90,0.9,-70,0.05,3,-90.75,Random
2,40,-10,0.05,145,0.95,0,0,2,137.25,120,0.5,160,0.5,0,0,2,140,Random
2,41,30,1,0,0,0,0,1,30,10,0.5,20,0.25,115,0.25,3,38.75,Random
2,42,155,0.55,225,0.45,0,0,2,186.5,160,0.8,220,0.2,0,0,2,172,Random
2,43,-30,0.9,85,0.1,0,0,2,-18.5,-185,0.4,75,0.55,180,0.05,3,-23.75,Random
2,44,-175,0.55,5,0.35,140,0.1,3,-80.5,-65,1,0,0,0,0,1,-65,Random
2,45,-60,0.05,-25,0.5,35,0.45,3,0.25,-10,1,0,0,0,0,1,-10,Random
2,46,30,0.85,175,0.1,305,0.05,3,58.25,25,0.35,70,0.4,80,0.25,3,56.75,Random
2,47,-65,0.45,180,0.05,260,0.5,3,109.75,30,0.5,120,0.1,260,0.4,3,131,Random
2,48,-35,0.9,25,0.1,0,0,2,-29,-30,1,0,0,0,0,1,-30,Random
2,49,-55,1,0,0,0,0,1,-55,-60,1,0,0,0,0,1,-60,Random
2,50,155,1,0,0,0,0,1,155,40,0.75,515,0.25,0,0,2,158.75,Random
2,51,50,1,0,0,0,0,1,50,-20,0.65,155,0.35,0,0,2,41.25,Random
2,52,-70,0.6,160,0.2,455,0.2,3,81,80,1,0,0,0,0,1,80,Random
2,53,75,0.2,130,0.7,180,0.1,3,124,105,0.75,130,0.25,0,0,2,111.25,Random
2,54,195,1,0,0,0,0,1,195,-15,0.1,195,0.9,0,0,2,174,Random
2,55,-5,0.6,170,0.4,0,0,2,65,40,0.3,55,0.7,0,0,2,50.5,Random
2,56,195,1,0,0,0,0,1,195,215,1,0,0,0,0,1,215,Random
2,57,-80,1,0,0,0,0,1,-80,-85,1,0,0,0,0,1,-85,Random
2,58,20,0.45,30,0.4,50,0.15,3,28.5,25,0.8,30,0.2,0,0,2,26,Random
2,59,165,1,0,0,0,0,1,165,90,0.4,210,0.6,0,0,2,162,Random
2,60,150,0.6,210,0.4,0,0,2,174,-280,0.1,200,0.45,250,0.45,3,174.5,Random
3,1,90,1,0,0,0,0,1,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,2,30,0.8,90,0.2,0,0,2,42,30,0.92,180,0.08,0,0,2,42,Triangle
3,3,30,0.2,90,0.8,0,0,2,78,30,0.68,180,0.32,0,0,2,78,Triangle
3,4,90,1,0,0,0,0,1,90,30,0.12,90,0.8,180,0.08,3,90,Triangle
3,5,30,0.2,90,0.8,0,0,2,78,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,6,90,0.2,180,0.8,0,0,2,162,30,0.12,180,0.88,0,0,2,162,Triangle
3,7,90,1,0,0,0,0,1,90,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,8,30,0.12,90,0.8,180,0.08,3,90,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,9,30,0.12,90,0.8,180,0.08,3,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,10,30,0.2,90,0.67,180,0.13,3,89.7,30,0.6,180,0.4,0,0,2,90,Triangle
3,11,30,0.68,180,0.32,0,0,2,78,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,12,30,0.12,90,0.8,180,0.08,3,90,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,13,30,0.32,90,0.6,180,0.08,3,78,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,14,90,1,0,0,0,0,1,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,15,30,0.2,90,0.8,0,0,2,78,30,0.68,180,0.32,0,0,2,78,Triangle
3,16,75,1,0,0,0,0,1,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,17,5,0.8,75,0.2,0,0,2,19,5,0.93,205,0.07,0,0,2,19,Triangle
3,18,5,0.2,75,0.8,0,0,2,61,5,0.72,205,0.28,0,0,2,61,Triangle
3,19,75,1,0,0,0,0,1,75,5,0.13,75,0.8,205,0.07,3,75,Triangle
3,20,5,0.2,75,0.8,0,0,2,61,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,21,75,0.2,205,0.8,0,0,2,179,5,0.13,205,0.87,0,0,2,179,Triangle
3,22,75,1,0,0,0,0,1,75,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,23,5,0.13,75,0.8,205,0.07,3,75,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,24,5,0.13,75,0.8,205,0.07,3,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,25,5,0.2,75,0.69,205,0.11,3,75.3,5,0.65,205,0.35,0,0,2,75,Triangle
3,26,5,0.72,205,0.28,0,0,2,61,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,27,5,0.13,75,0.8,205,0.07,3,75,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,28,5,0.33,75,0.6,205,0.07,3,61,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,29,75,1,0,0,0,0,1,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,30,5,0.2,75,0.8,0,0,2,61,5,0.72,205,0.28,0,0,2,61,Triangle
3,31,165,0.75,220,0.25,0,0,2,178.75,-380,0.25,220,0.05,385,0.7,3,185.5,Random
3,32,-180,0.75,615,0.25,0,0,2,18.75,-25,0.4,40,0.6,0,0,2,14,Random
3,33,-65,0.15,85,0.85,0,0,2,62.5,-55,0.4,75,0.35,215,0.25,3,58,Random
3,34,145,1,0,0,0,0,1,145,40,0.55,285,0.45,0,0,2,150.25,Random
3,35,-115,0.45,-25,0.55,0,0,2,-65.5,-245,0.45,10,0.1,130,0.45,3,-50.75,Random
3,36,60,1,0,0,0,0,1,60,60,0.9,290,0.1,0,0,2,83,Random
3,37,-35,0.85,75,0.15,0,0,2,-18.5,-10,1,0,0,0,0,1,-10,Random
3,38,160,1,0,0,0,0,1,160,-15,0.1,105,0.45,265,0.45,3,165,Random
3,39,-225,0.1,-40,0.85,110,0.05,3,-51,-130,0.3,-15,0.7,0,0,2,-49.5,Random
3,40,-195,0.35,150,0.5,170,0.15,3,32.25,10,0.1,55,0.9,0,0,2,50.5,Random
3,41,180,1,0,0,0,0,1,180,100,0.55,145,0.05,285,0.4,3,176.25,Random
3,42,-25,0.15,-15,0.7,110,0.15,3,2.25,-190,0.25,20,0.55,140,0.2,3,-8.5,Random
3,43,-60,0.65,-30,0.35,0,0,2,-49.5,-50,1,0,0,0,0,1,-50,Random
3,44,-240,0.15,40,0.85,0,0,2,-2,-90,0.25,25,0.75,0,0,2,-3.75,Random
3,45,-110,0.05,-85,0.25,-35,0.7,3,-51.25,-105,0.55,45,0.45,0,0,2,-37.5,Random
3,46,-105,0.05,-90,0.45,-10,0.5,3,-50.75,-240,0.5,150,0.5,0,0,2,-45,Random
3,47,55,1,0,0,0,0,1,55,55,1,0,0,0,0,1,55,Random
3,48,0,0.05,10,0.55,60,0.4,3,29.5,-40,0.75,225,0.2,435,0.05,3,36.75,Random
3,49,80,1,0,0,0,0,1,80,5,0.35,45,0.25,170,0.4,3,81,Random
3,50,-95,0.25,45,0.75,0,0,2,10,-45,0.95,865,0.05,0,0,2,0.5,Random
3,51,-50,0.4,-15,0.4,355,0.2,3,45,-95,0.35,-45,0.5,735,0.15,3,54.5,Random
3,52,-270,0.4,105,0.6,0,0,2,-45,-45,1,0,0,0,0,1,-45,Random
3,53,190,1,0,0,0,0,1,190,190,1,0,0,0,0,1,190,Random
3,54,-40,0.3,-35,0.7,0,0,2,-36.5,-420,0.15,-30,0.15,50,0.7,3,-32.5,Random
3,55,-90,1,0,0,0,0,1,-90,-75,0.05,-65,0.95,0,0,2,-65.5,Random
3,56,55,1,0,0,0,0,1,55,5,0.75,180,0.25,0,0,2,48.75,Random
3,57,75,0.75,100,0.05,220,0.2,3,105.25,115,1,0,0,0,0,1,115,Random
3,58,60,0.5,135,0.5,0,0,2,97.5,55,0.65,200,0.3,280,0.05,3,109.75,Random
3,59,95,1,0,0,0,0,1,95,-10,0.35,75,0.15,130,0.5,3,72.75,Random
3,60,15,0.4,20,0.35,110,0.25,3,40.5,-335,0.2,55,0.45,225,0.35,3,36.5,Random
